indvdID,siteID,taxonID,scientificName,taxonRank,utmZone,nlcdClass,elevation,growthForm,plantStatus,stemDiameter,height,maxCrownDiameter,ninetyCrownDiameter,canopyPosition
MLBS00401B,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,multi-bole tree,Live,15.6,17.1,,,
MLBS00404,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,multi-bole tree,Live,33.1,23.1,,,
MLBS00441,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Standing dead,11.8,9.0,,,
MLBS00386,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,"Live,  other damage",13.5,14.8,,,
MLBS00423,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Live,22.4,19.0,,,
MLBS00508,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,Live,17.5,17.5,,,
MLBS00595,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.83,single bole tree,Live,13.0,15.3,,,
MLBS00409,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Live,10.6,12.4,,,
MLBS00513,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,Live,18.7,15.5,,,
MLBS00419,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Live,10.1,11.4,,,
MLBS00363,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Live,19.9,18.9,,,
MLBS00558,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.01,single bole tree,Live,24.9,16.3,,,
MLBS00471,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,Live,36.1,23.0,,,
MLBS00511,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,Live,59.9,21.3,,,
MLBS00560,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.01,single bole tree,Live,41.8,17.1,,,
MLBS00444,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Live,29.1,19.9,,,
MLBS00661,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,single bole tree,Live,14.2,19.0,,,
MLBS00653C,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,multi-bole tree,Live,12.9,18.1,,,
MLBS00652,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,multi-bole tree,Live,39.1,20.8,,,
MLBS00645,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,single bole tree,Live,25.2,19.2,,,
MLBS00644A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,multi-bole tree,Live,39.8,21.5,,,
MLBS00658,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,single bole tree,Live,38.6,20.0,,,
MLBS00726,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Live,24.5,16.5,,,
MLBS00726,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Live,24.5,16.5,,,
MLBS00733A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,multi-bole tree,Live,40.5,20.0,,,
MLBS00729C,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,multi-bole tree,Live,30.9,20.8,,,
MLBS00729C,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,multi-bole tree,Live,30.9,20.8,,,
MLBS00749,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Live,20.8,13.6,,,
MLBS00757,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Standing dead,20.1,14.5,,,
MLBS00754,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Live,29.1,18.5,,,
MLBS00791,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1172.84,single bole tree,Live,13.6,10.6,,,
MLBS01110,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1174.15,single bole tree,Live,16.8,11.3,,,
MLBS00834,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1172.84,single bole tree,"Live, disease damaged",17.2,10.2,,,
MLBS00662,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,single bole tree,Live,30.3,19.7,,,
MLBS00725,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Live,20.2,16.8,,,
MLBS01117,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1174.15,single bole tree,Live,22.1,18.5,,,
MLBS01099,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1174.15,multi-bole tree,Live,35.4,21.0,,,
MLBS01119,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1174.15,single bole tree,Live,31.8,20.7,,,
MLBS00853,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1172.84,multi-bole tree,Live,22.6,17.4,,,
MLBS00853,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1172.84,multi-bole tree,Live,22.6,17.4,,,
MLBS00641,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,single bole tree,Live,26.8,20.2,,,
MLBS00641,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1170.24,single bole tree,Live,26.8,20.2,,,
MLBS00752,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.13,single bole tree,Standing dead,23.5,16.1,,,
MLBS01115,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1174.15,single bole tree,Live,17.0,13.9,,,
MLBS01399B,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Live,11.8,17.9,,,
MLBS01389A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Standing dead,10.2,10.7,,,
MLBS01398,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Standing dead,24.2,16.4,,,
MLBS01378,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Live,42.0,20.5,,,
MLBS01397A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Live,28.5,18.4,,,
MLBS01374,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Live,33.5,19.7,,,
MLBS01282,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1171.54,single bole tree,Live,26.2,15.1,,,
MLBS01326,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.25,single bole tree,Live,23.3,10.6,,,
MLBS01351A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Live,20.1,18.5,,,
MLBS01350,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,multi-bole tree,Live,25.2,17.9,,,
MLBS01222,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.78,multi-bole tree,Live,33.4,21.1,,,
MLBS01172,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.78,single bole tree,Live,38.5,16.9,,,
MLBS01297,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.25,single bole tree,Live,14.5,13.1,,,
MLBS01268,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1171.54,single bole tree,Live,26.5,17.8,,,
MLBS01147,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.78,single bole tree,Live,15.3,15.2,,,
MLBS01271,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1171.54,single bole tree,Live,22.4,7.9,,,
MLBS01250,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,single bole tree,Live,19.9,15.6,,,
MLBS01160,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.78,multi-bole tree,Live,21.9,16.9,,,
MLBS01260A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,multi-bole tree,Live,24.2,17.6,,,
MLBS01223,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.78,multi-bole tree,Live,19.8,17.0,,,
MLBS01226,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,single bole tree,Live,12.8,13.0,,,
MLBS01226,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,single bole tree,Live,12.8,13.0,,,
MLBS01258,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,single bole tree,Live,45.1,18.9,,,
MLBS01252,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,single bole tree,Live,35.6,15.6,,,
MLBS01208,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.78,multi-bole tree,Live,24.9,18.5,,,
MLBS01362,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,single bole tree,Live,33.5,17.4,,,
MLBS01370,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,single bole tree,Live,22.1,16.3,,,
MLBS01363,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,single bole tree,Live,52.8,18.5,,,
MLBS01256,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1166.12,single bole tree,Live,16.2,15.5,,,
MLBS01267,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1171.54,single bole tree,Live,42.9,20.0,,,
MLBS01330,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.25,single bole tree,Live,29.9,16.7,,,
MLBS01291,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.25,single bole tree,Live,30.1,17.7,,,
MLBS01344,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.32,single bole tree,Live,22.6,16.8,,,
MLBS01269,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1171.54,single bole tree,Live,34.3,20.8,,,
MLBS01202B,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1167.74,multi-bole tree,Live,34.9,18.4,,,
MLBS00733B,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1174.17,multi-bole tree,Live,38.5,20.0,,,
MLBS01568,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1241.81,single bole tree,"Live, insect damaged",41.0,12.1,7.7,7.4,Full sun
MLBS01534A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1179.85,multi-bole tree,Standing dead,7.2,10.8,5.7,4.5,Mostly shaded
MLBS01525,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1179.85,single bole tree,Standing dead,14.3,12.2,4.0,3.5,Mostly shaded
MLBS01546,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1221.21,multi-bole tree,Live,22.4,12.6,10.3,8.2,Mostly shaded
MLBS01704A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1267.66,multi-bole tree,Live,11.7,7.4,5.5,5.4,Mostly shaded
MLBS01711,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1267.66,single bole tree,Live,13.0,13.0,7.6,6.2,Partially shaded
MLBS01642,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1310.19,single bole tree,Live,12.5,7.9,8.7,5.7,Mostly shaded
MLBS01661,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1310.19,single bole tree,No longer qualifies,22.7,11.9,7.7,6.4,Partially shaded
MLBS01661,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1310.19,single bole tree,Live,22.7,11.9,7.7,6.4,Partially shaded
MLBS01742,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,897.62,single bole tree,Live,16.9,17.4,8.8,8.2,Mostly shaded
MLBS01822,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,813.35,single bole tree,Live,17.9,19.4,7.9,6.6,Mostly shaded
MLBS01879,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,777.71,single bole tree,"Live, disease damaged",12.1,11.3,6.8,5.5,Mostly shaded
MLBS02083A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1319.11,multi-bole tree,Live,15.3,8.9,5.3,4.3,Partially shaded
MLBS02082,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1319.11,multi-bole tree,Live,13.4,9.0,4.0,3.7,Partially shaded
MLBS02114,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1319.11,multi-bole tree,Live,11.1,7.0,5.1,4.3,Partially shaded
MLBS02043,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1288.96,single bole tree,Live,10.3,7.5,3.9,3.3,Partially shaded
MLBS02100,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1319.11,single bole tree,Live,14.4,7.4,5.2,3.3,Full sun
MLBS01977A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1285.2,multi-bole tree,Live,6.0,7.7,7.4,7.1,Mostly shaded
MLBS01959,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1285.2,single bole tree,Live,18.2,11.9,7.1,6.8,Partially shaded
MLBS01996,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1285.2,single bole tree,Live,13.2,10.2,7.8,5.6,Mostly shaded
MLBS02031,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1288.96,single bole tree,Live,16.7,10.7,5.2,4.7,Partially shaded
MLBS02006,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1288.96,single bole tree,Live,17.8,10.2,5.9,4.1,Partially shaded
MLBS02081,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1319.11,single bole tree,Live,11.4,8.2,3.4,3.1,Partially shaded
MLBS02178,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,978.65,single bole tree,Live,17.8,16.7,8.9,6.9,Mostly shaded
MLBS02166,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,978.65,single bole tree,"Live, disease damaged",19.9,17.8,7.2,4.3,Mostly shaded
MLBS02158,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,978.65,single bole tree,Live,33.9,24.1,5.2,5.0,Partially shaded
MLBS02281,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,819.79,single bole tree,Live,10.5,14.1,5.6,4.0,Mostly shaded
MLBS02270,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,819.79,multi-bole tree,Live,23.8,17.5,10.6,6.1,Mostly shaded
MLBS02230,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,819.79,multi-bole tree,Live,16.5,16.3,6.5,5.9,Mostly shaded
MLBS02265,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,819.79,single bole tree,Live,24.2,19.5,7.6,6.9,Partially shaded
MLBS02297,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,819.79,single bole tree,Live,24.0,10.5,7.8,7.1,Partially shaded
MLBS02423,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,791.31,single bole tree,Live,24.8,19.9,9.0,7.9,Partially shaded
OSBS01038,OSBS,ACRU,Acer rubrum L.,species,17N,woodyWetlands,31.45,single bole tree,No longer qualifies,12.7,3.5,,,
OSBS00941,OSBS,ACRU,Acer rubrum L.,species,17N,woodyWetlands,31.45,single bole tree,Live,53.8,19.8,10.1,8.3,
OSBS00945,OSBS,ACRU,Acer rubrum L.,species,17N,woodyWetlands,31.45,single bole tree,Live,16.8,6.9,6.7,5.2,
OSBS00953,OSBS,ACRU,Acer rubrum L.,species,17N,woodyWetlands,31.45,single bole tree,Live,39.3,17.4,16.4,12.0,Full sun
MLBS02171,MLBS,ACSA3,Acer saccharum Marshall,species,17N,deciduousForest,978.65,single bole tree,Live,16.8,15.2,8.3,6.9,Mostly shaded
MLBS00170A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.1,multi-bole tree,Live,25.6,13.6,,,
MLBS00283A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1178.17,multi-bole tree,Live,23.0,15.7,,,
MLBS00282,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1178.17,single bole tree,Live,22.5,18.9,,,
MLBS00155,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.1,single bole tree,Live,13.1,11.5,,,
MLBS00133,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.1,single bole tree,Live,33.9,15.8,,,
MLBS00133,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.1,single bole tree,Live,33.9,15.8,,,
MLBS00514,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.65,single bole tree,Live,15.0,13.3,,,
MLBS00538,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.01,single bole tree,Live,27.6,17.5,,,
MLBS00568,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.83,single bole tree,Live,15.2,12.6,,,
MLBS00392,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.68,single bole tree,Live,23.4,19.8,,,
MLBS00449,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.68,single bole tree,Live,18.9,14.8,,,
MLBS00412,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.68,single bole tree,Live,14.1,11.3,,,
MLBS00403,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.68,single bole tree,Live,13.6,13.7,,,
MLBS00398,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.68,single bole tree,Live,12.8,14.1,,,
MLBS00497,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.65,single bole tree,Live,24.6,17.4,,,
MLBS00584,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1175.83,single bole tree,Live,30.8,17.4,,,
MLBS00521,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.01,single bole tree,Live,26.8,25.2,,,
MLBS00520,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.01,single bole tree,Live,33.5,16.4,,,
MLBS00520,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.01,single bole tree,Live,33.5,16.4,,,
MLBS00532,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.01,single bole tree,Live,31.8,17.5,,,
MLBS00656,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1170.24,single bole tree,Live,31.0,17.7,,,
MLBS00840,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1172.84,single bole tree,Live,12.2,10.6,,,
MLBS00820,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1172.84,single bole tree,Live,38.7,18.4,,,
MLBS00712,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1173.13,single bole tree,Live,11.6,10.0,,,
MLBS00764,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1172.84,single bole tree,Live,43.6,19.5,,,
MLBS00764,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1172.84,single bole tree,Live,43.6,19.5,,,
MLBS00859,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1172.84,single bole tree,Live,13.8,13.3,,,
MLBS00826,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1172.84,single bole tree,Live,10.9,9.7,,,
MLBS00667,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1170.24,single bole tree,Standing dead,35.9,12.8,,,
MLBS01243,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1166.12,single bole tree,Live,19.7,16.1,,,
MLBS01298,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.25,multi-bole tree,Live,31.1,13.9,,,
MLBS01329,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.25,single bole tree,Standing dead,18.0,10.0,,,
MLBS01156A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1167.78,multi-bole tree,Live,28.0,18.5,,,
MLBS01187A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1167.78,multi-bole tree,Live,28.9,18.1,,,
MLBS01187A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1167.78,multi-bole tree,Live,28.9,18.1,,,
MLBS01287,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1171.54,single bole tree,Live,16.6,14.0,,,
MLBS01306A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.25,multi-bole tree,Live,24.8,16.7,,,
MLBS01175,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1167.78,,No longer qualifies,14.9,16.7,,,
MLBS01175,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1167.78,single bole tree,Live,14.9,16.7,,,
MLBS01139,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1167.78,single bole tree,Live,30.4,17.8,,,
MLBS01263,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1166.12,single bole tree,Standing dead,31.9,11.7,,,
MLBS01311A,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1169.25,multi-bole tree,Standing dead,12.8,12.6,,,
MLBS01506,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1179.85,single bole tree,Live,14.3,11.0,5.7,5.0,Mostly shaded
MLBS01681,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1310.19,single bole tree,Live,15.4,7.8,3.3,2.7,Partially shaded
MLBS01706,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,1267.66,single bole tree,Live,12.2,8.5,5.6,5.0,Mostly shaded
MLBS01769,MLBS,AMLA,Amelanchier laevis Wiegand,species,17N,deciduousForest,897.62,single bole tree,Live,14.6,14.0,7.8,6.9,Mostly shaded
